14,14,14,14,
14,20,20,20,
14,13,13,13,
14,11,11,12,
14,11,11,11,
14,10,10,12,
14,10,8,12,
14,8,6,9,
14,6,6,7,
14,5,5,7,
13,5,5,6,
13,5,5,6,
13,4,5,6,
12,4,4,5,
12,3,4,5,
12,3,4,5,
12,3,4,5,
12,3,4,5,
12,4,5,6,
12,5,5,7,
11,5,7,9,
11,6,8,11,
11,7,10,12,
11,6,9,14,
11,6,8,14,
10,6,8,13,
10,5,5,11,
10,5,4,9,
10,5,4,9,
10,5,4,9,
9,5,4,7,
9,5,4,7,
9,4,4,7,
9,4,4,7,
9,3,5,7,
9,2,6,9,
9,3,8,11,
9,4,10,11,
8,4,11,12,
8,4,12,15,
7,5,11,15,
7,5,8,16,
7,5,7,18,
7,6,8,21,
7,6,7,20,
7,5,7,20,
7,5,7,16,
7,5,7,17,
7,5,6,14,
7,5,6,13,
28,4,6,14,
29,4,6,15,
29,5,6,15,
29,6,7,18,
29,6,11,20,
29,6,15,20,
29,6,16,22,
29,7,21,25,
29,10,23,29,
29,13,22,32,
29,14,18,40,
30,16,17,39,
30,16,16,42,
31,15,15,41,
31,15,14,39,
31,15,14,37,
31,15,12,33,
32,15,11,32,
32,14,11,30,
32,13,12,30,
32,12,14,32,
33,11,18,33,
33,11,20,34,
33,12,21,37,
33,14,25,41,
33,16,27,45,
37,20,26,54,
37,23,25,64,
37,25,21,69,
37,27,19,70,
37,30,17,69,
39,32,14,62,
39,30,14,53,
39,30,11,48,
40,31,11,41,
40,32,11,38,
40,33,13,41,
40,31,15,43,
41,30,17,46,
41,28,18,48,
41,26,18,53,
42,26,17,52,
42,28,18,60,
42,29,19,74,
42,35,22,82,
42,42,22,95,
42,51,24,96,
42,60,24,91,
42,66,19,78,
42,71,16,69,
56,73,16,67,
58,74,17,68,
58,75,20,66,
58,76,22,60,
58,74,24,62,
58,73,26,59,
58,74,26,64,
58,72,24,67,
58,71,23,69,
58,69,21,85,
58,76,21,105,
60,85,25,115,
60,89,29,116,
60,100,31,129,
60,110,30,135,
60,127,30,113,
60,138,28,104,
61,150,28,99,
61,155,25,94,
61,158,23,85,
60,151,21,71,
61,150,22,66,
61,150,19,63,
61,141,14,56,
61,129,12,53,
59,117,12,58,
61,112,12,68,
61,105,10,76,
61,105,10,86,
61,107,8,94,
61,108,8,98,
62,114,8,98,
62,121,8,91,
62,129,6,87,
62,127,6,84,
62,133,8,78,
62,138,11,68,
62,131,13,63,
62,125,17,59,
62,124,18,56,
61,117,21,49,
63,115,20,51,
63,116,19,55,
63,113,16,63,
63,108,12,70,
63,107,11,75,
63,109,10,83,
63,108,9,84,
63,108,9,84,
63,119,9,85,
66,126,9,85,
67,127,9,79,
67,112,11,72,
67,109,15,67,
67,110,19,64,
67,115,19,56,
67,110,23,56,
67,114,24,55,
67,115,22,60,
67,112,15,67,
66,113,13,78,
67,117,13,88,
67,118,10,86,
67,114,7,91,
67,118,6,96,
67,116,5,96,
67,111,5,94,
66,104,5,92,
66,98,6,79,
66,105,7,60,
66,107,7,52,
69,109,7,50,
69,118,8,48,
69,116,9,48,
69,122,10,53,
65,118,11,56,
68,112,10,60,
68,108,7,65,
68,105,8,69,
68,102,6,70,
66,106,6,68,
67,98,6,71,
67,96,6,75,
67,97,6,83,
66,96,6,83,
66,94,6,76,
66,94,7,72,
66,90,8,67,
66,89,10,60,
66,86,11,60,
66,87,12,61,
68,91,12,58,
68,90,11,59,
68,91,10,64,
